Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
int,int_0_trace,137.11144542694092,Pass,6334.396638631821,40000041,14704991,2.7202,6223265,205513,0.4232,0.0140,3.3023%,5.1378,10018418,48.7483,250.4602,20000041,6529135,3.0632,3076555,100501,0.4712,0.0154,3.2667%,5.0250,4299902,42.7847,214.9947
int,int_1_trace,92.84952068328857,Pass,5719.152703285217,30000052,19630512,1.5282,5301134,386508,0.2700,0.0197,7.2910%,12.8836,15734258,40.7088,524.4744,15000052,9442674,1.5885,2642836,194045,0.2799,0.0205,7.3423%,12.9363,7528381,38.7971,501.8903
int,int_2_trace,94.08823490142822,Pass,5114.964842557907,30000052,19310826,1.5535,5366311,355834,0.2779,0.0184,6.6309%,11.8611,15348474,43.1338,511.6149,15000052,9160269,1.6375,2681980,180346,0.2928,0.0197,6.7244%,12.0230,7220408,40.0364,481.3589
int,int_3_trace,96.88034057617188,Pass,6782.268358230591,40000052,7233692,5.5297,4722773,43003,0.6529,0.0059,0.9105%,1.0751,1222376,28.4254,30.5594,20000052,3578647,5.5887,2249610,20097,0.6286,0.0056,0.8934%,1.0048,500019,24.8803,25.0009
int,int_4_trace,188.2430238723755,Pass,7764.8054022789,59999657,13846252,4.3333,7683892,249766,0.5549,0.0180,3.2505%,4.1628,5357685,21.4508,89.2953,30999657,6912113,4.4848,4061423,125344,0.5876,0.0181,3.0862%,4.0434,2642231,21.0798,85.2342
int,int_5_trace,138.47165870666504,Pass,6100.9083387851715,30000052,6785179,4.4214,2565027,97494,0.3780,0.0144,3.8009%,3.2498,3244808,33.2821,108.1601,15000052,3378122,4.4404,1297750,47635,0.3842,0.0141,3.6706%,3.1757,1622211,34.0550,108.1470
int,int_6_trace,130.25432968139648,Pass,6084.3998148441315,30000052,7813535,3.8395,3119970,103804,0.3993,0.0133,3.3271%,3.4601,4140217,39.8849,138.0070,15000052,3871825,3.8742,1567043,52063,0.4047,0.0134,3.3224%,3.4709,2066531,39.6929,137.7683
int,int_7_trace,128.17397212982178,Pass,6907.16752076149,40000048,14753699,2.7112,5944145,231480,0.4029,0.0157,3.8943%,5.7870,5332242,23.0354,133.3059,20000048,6336207,3.1565,3000751,112909,0.4736,0.0178,3.7627%,5.6454,2490635,22.0588,124.5315
int,int_8_trace,137.59827327728271,Pass,6846.278439283371,40000052,16332297,2.4491,5678944,287429,0.3477,0.0176,5.0613%,7.1857,6645652,23.1210,166.1411,20000052,6561459,3.0481,2813189,132028,0.4287,0.0201,4.6932%,6.6014,2956907,22.3961,147.8450
int,int_9_trace,152.5840139389038,Pass,6698.302483320236,40000050,14363142,2.7849,5800876,195722,0.4039,0.0136,3.3740%,4.8930,4556308,23.2795,113.9076,20000050,6026339,3.3188,2893544,92898,0.4801,0.0154,3.2105%,4.6449,2105483,22.6645,105.2739
int,int_10_trace,204.85591316223145,Pass,7697.919659376144,60000052,9673918,6.2022,7032592,32331,0.7270,0.0033,0.4597%,0.5388,880097,27.2215,14.6683,30000052,4472782,6.7072,3499163,15458,0.7823,0.0035,0.4418%,0.5153,354231,22.9157,11.8077
int,int_11_trace,203.19092559814453,Pass,7917.486925601959,60000052,16609089,3.6125,4130584,261753,0.2487,0.0158,6.3369%,4.3625,9289544,35.4897,154.8256,30000052,8304688,3.6124,2064453,131861,0.2486,0.0159,6.3872%,4.3954,4680904,35.4988,156.0299
int,int_12_trace,204.59925079345703,Pass,8191.50344991684,59999603,20484048,2.9291,6357220,46000,0.3103,0.0022,0.7236%,0.7667,3370304,73.2675,56.1721,30999603,4998479,6.2018,4522132,28084,0.9047,0.0056,0.6210%,0.9059,979051,34.8615,31.5827
